,COMMOPER,COD_CANT,ITEM,COMPOSITION,GROUPC,ACTIVITY,CONTRACTOR,CODE_AR,SUBCMC,UM,SPLITSUBC,INCIDENCE,ACTIVITY_QTA,LEADER_ACT,DATA_PROGR,QTA_PROGRESS,IDS,EARLYSTART,EARLYFINISH,ACHIEVED_SMH,SMH,ACHIEVED_EMH,EMH,REMAINING_EMH,NUM_OF_DAYS_REMAINING,LATE_FINISH,STATUS
10,835057,S1,PAR-003_PIPE_SUPPORTS,VP-BPI-0132,VP-BPI-0132,VP013C,LARS01,R03,VP0132,M2,,5,7.0425,N,29/11/24,6.690375,4631.0,06/08/24,09/09/24,3.3451875,3.52125,14.243808375,14.9934825,0.749674125,0.0749674125,19/12/24,delayed
11,835057,S1,2500-AL-0052-PAR-012_A,MC-PIP-1810,MC-PIP-1810A,MC181D,LARS01,R12,MC1810,KG,,10,21.433,N,05/12/24,19.7848023,1971.0,24/07/24,03/12/24,1.23655014375,1.3395625,2.764926121425,2.99526175,0.230335628575,0.0230335628575,19/12/24,delayed
12,835057,S1,PAR-037-LS,VP-STR-0122,VP-STR-0122A,VP012C,LARS01,R37,VP0122,M2,,5,23.1555,N,12/12/24,22.460835,3707.0,13/07/24,02/09/24,5.61520875,5.788875,23.9095588575,24.64902975,0.7394708925,0.07394708925,19/12/24,delayed
13,835057,S1,2500-PC-3916-PAR-048_A,VM-PAINT-0100,VM-PAINT-0100,VM010B,LARS01,R48,VM0100,M2,,45,3.555,N,12/12/24,3.2706,4099.0,16/08/24,01/10/24,0.65412,0.711,2.78524296,3.027438,0.24219504,0.024219504,19/12/24,delayed
14,835057,S1,PAR-013-P2,VP-STR-0122,VP-STR-0122A,VP012C,LARS01,R13,VP0122,M2,,5,71.6525,N,28/11/24,50.873275,2071.0,30/05/24,07/08/24,12.71831875,17.913125,46.12934210625,64.970904375,18.84156226875,1.884156226875,21/12/24,delayed
15,835057,S1,PAR-016-P4,VP-STR-0122,VP-STR-0122A,VP012B,LARS01,R16,VP0122,M2,,25,61.2025,N,05/12/24,1.836075,2937.0,23/08/24,25/10/24,0.45901875,15.300625,1.66486100625,55.495366875,53.83050586875,5.383050586875,25/12/24,delayed
16,835057,S1,1200-PC-0015-PAR-049_A,VP-PAI-0200,VP-PAI-0200A,VP020E,LARS01,R49,VP0200,M2,,5,0.593,N,14/11/24,0.2963814,4143.0,04/11/24,13/12/24,0.0987938,0.1976666666666666,0.4206640004,0.8416646666666666,0.4210006662666666,0.0421000666266666,19/12/24,delayed
17,835057,S1,PAR-012-P2,MC-STRF-1140A,MC-STRF-1140A_1,MC114D,LARS01,R12,MC1140,KG,,20,2204.658,Y,28/11/24,1212.5619,1970.0,27/04/24,04/01/25,110.2329,200.42345454545452,491.5285011,893.6881838181818,402.1596827181818,40.21596827181818,28/01/25,delayed
18,835057,S1,PAR-015A_PIPE_SUPPORTS,VP-FLP-0232,VP-FLP-0232A,VP023B,LARS01,R15A,VP0232,M2,,25,6.0125,N,29/11/24,0.988455,2256.0,16/10/24,07/11/24,0.197691,1.2025,0.7170252569999999,4.3614675,3.644442243,0.3644442242999999,20/12/24,delayed
19,835057,S1,PAR-035A-P2,MC-STR-2410,MC-STR-2410A,MC241D,LARS01,R35A,MC2410,KG,,5,1646.821,N,31/10/24,1580.94816,4254.0,12/09/24,19/11/24,45.16994742857143,47.052028571428565,221.06172271542857,230.27262782857144,9.210905113142855,0.9210905113142857,20/12/24,delayed
20,835057,S1,PAR-044_PIPE_SUPPORTS,VP-FLP-0232,VP-FLP-0232A,VP023A,LARS01,R44,VP0232,M2,,10,3.542,N,29/11/24,2.3373658,3982.0,05/12/24,13/12/24,0.46747316,0.7084,1.99050071528,3.0163672,1.02586648472,0.102586648472,19/12/24,delayed
21,835057,S1,PAR-047_PIPE_SUPPORTS,MC-SUPPE-0500,MC-SUPPE-0500A,MC050C,LARS01,R47,MC0500,KG,,30,3239.328,N,28/11/24,589.2337632,4041.0,04/01/25,27/01/25,58.92337632,323.9328,106.88700464448,587.6140992,480.72709455552,48.072709455552,05/02/25,delayed
22,835057,S1,PAR-043-LS,MC-STR-2410,MC-STR-2410A,MC241C,LARS01,R43,MC2410,KG,,30,14113.56,N,28/11/24,11008.5768,3918.0,14/08/24,14/11/24,314.5307657142857,403.24457142857136,1539.3135674057141,1973.4789325714285,434.1653651657143,43.41653651657143,01/02/25,delayed
23,835057,S1,PAR-021A-P2,MC-STRF-1130A,MC-STRF-1130A-1,MC113D,LARS01,R21A,MC1130,KG,,20,15318.058,Y,12/12/24,5514.50088,1104.0,15/05/24,19/02/25,183.816696,510.6019333333333,899.598910224,2498.885861733333,1599.2869515093332,159.92869515093332,28/05/25,delayed
24,835057,S1,2610-CWS-4992-PAR-012_A,VP-PAI-0200,VP-PAI-0200A,VP020B,LARS01,R12,VP0200,M2,,35,2.7615,N,05/12/24,0.4015221,2015.0,10/08/24,30/10/24,0.1338407,0.9205,0.4854402189,3.3386535,2.8532132811,0.28532132811,19/12/24,delayed
25,835057,S1,PAR-021B-P2,MC-STRF-1140A,MC-STRF-1140A_1,MC114E,LARS01,R21B,MC1140,KG,,5,208.813,N,21/11/24,31.32195,1153.0,18/05/24,04/12/24,2.84745,18.983,13.9354203,92.902802,78.9673817,7.89673817,27/12/24,delayed
26,835057,S1,PAR-062-LS,MC-STRF-1130A,MC-STRF-1130A-1,MC113H,LARS01,R62,MC1130,KG,,25,13353.51,N,12/12/24,9614.5272,3180.0,27/04/24,04/01/25,320.48424,445.117,1568.44987056,2178.402598,609.95272744,60.995272744,18/02/25,delayed
27,835057,S1,PAR-023A-P3,MC-STRF-1130A,MC-STRF-1130A-1,MC113D,LARS01,R23A,MC1130,KG,,20,19969.576,Y,12/12/24,4193.61096,993.0,17/05/24,03/01/25,139.787032,665.6525333333333,684.117734608,3257.703498133333,2573.5857635253333,257.3585763525333,03/09/25,delayed
28,835057,S1,PAR-015A_PIPE_SUPPORTS,MC-SUPF-1010,MC-SUPF-1010A,MC101E,LARS01,R15A,MC1010,KG,,5,25.5905,N,12/12/24,15.46433915,2227.0,02/10/24,29/10/24,2.0619118866666666,3.4120666666666666,5.6950006309733325,9.424128133333332,3.72912750236,0.372912750236,20/12/24,delayed
29,835057,S1,PAR-023A_PIPE_SUPPORTS,VP-BPI-0132,VP-BPI-0132,VP013C,LARS01,R23A,VP0132,M2,,5,52.5545,N,05/12/24,6.0858111,1039.0,04/09/24,01/10/24,3.04290555,26.27725,12.9566918319,111.8885305,98.9318386681,9.89318386681,29/12/24,delayed
30,835057,S1,PAR-043-P1,MC-STR-2410,MC-STR-2410A,MC241D,LARS01,R43,MC2410,KG,,5,2403.039,N,28/11/24,1682.1273,3918.0,14/08/24,14/11/24,48.06078,68.65825714285714,235.20945732,336.01351045714284,100.80405313714284,10.080405313714284,29/12/24,delayed
31,835057,S1,PAU-018A_PIPE_SUPPORTS,MC-SUPF-1010,MC-SUPF-1010A,MC101C,LARS01,U18A,MC1010,KG,,35,15720.8975,N,05/12/24,2501.19479225,3533.0,06/11/24,12/12/24,333.4926389666666,2096.1196666666665,921.1066688259331,5789.482519333333,4868.3758505074,486.83758505074,20/04/26,delayed
32,835057,S1,1100-IW-3919-PAR-039_A,VP-PAI-0200,VP-PAI-0200A,VP020E,LARS01,R39,VP0200,M2,,5,0.077,N,12/12/24,0.0502502,3782.0,12/07/24,07/09/24,0.0167500666666666,0.0256666666666666,0.0713217838666666,0.1092886666666666,0.0379668828,0.00379668828,19/12/24,delayed
